file,start_datetime,stop_datetime,region_id,sex,treatment,lineage,status
Monitor1.txt,2026-02-06 9:02,2026-02-08 7:48,1,M,C,1,OK
Monitor1.txt,2026-02-06 9:02,2026-02-08 7:48,2,M,C,1,OK
Monitor1.txt,2026-02-06 9:02,2026-02-08 7:48,3,M,C,1,OK
Monitor1.txt,2026-02-06 9:02,2026-02-08 7:48,4,M,C,1,OK
Monitor1.txt,2026-02-06 9:02,2026-02-08 7:48,5,M,C,1,OK
Monitor1.txt,2026-02-06 9:02,2026-02-08 7:48,6,M,C,1,OK
Monitor1.txt,2026-02-06 9:02,2026-02-08 7:48,7,M,C,1,OK
Monitor1.txt,2026-02-06 9:02,2026-02-08 7:48,8,M,C,1,OK
Monitor1.txt,2026-02-06 9:02,2026-02-08 7:48,9,M,C,1,OK
Monitor1.txt,2026-02-06 9:02,2026-02-08 7:48,10,M,C,1,OK
Monitor1.txt,2026-02-06 9:02,2026-02-08 7:48,11,M,C,1,OK
Monitor1.txt,2026-02-06 9:02,2026-02-08 7:48,12,M,C,1,OK
Monitor1.txt,2026-02-06 9:02,2026-02-08 7:48,13,M,C,1,OK
Monitor1.txt,2026-02-06 9:02,2026-02-08 7:48,14,M,C,1,OK
Monitor1.txt,2026-02-06 9:02,2026-02-08 7:48,15,M,C,1,OK
Monitor1.txt,2026-02-06 9:02,2026-02-08 7:48,16,M,C,1,OK
Monitor1.txt,2026-02-06 9:02,2026-02-08 7:48,17,F,C,1,OK
Monitor1.txt,2026-02-06 9:02,2026-02-08 7:48,18,F,C,1,OK
Monitor1.txt,2026-02-06 9:02,2026-02-08 7:48,19,F,C,1,OK
Monitor1.txt,2026-02-06 9:02,2026-02-08 7:48,20,F,C,1,OK
Monitor1.txt,2026-02-06 9:02,2026-02-08 7:48,21,F,C,1,OK
Monitor1.txt,2026-02-06 9:02,2026-02-08 7:48,22,F,C,1,OK
Monitor1.txt,2026-02-06 9:02,2026-02-08 7:48,23,F,C,1,OK
Monitor1.txt,2026-02-06 9:02,2026-02-08 7:48,24,F,C,1,OK
Monitor1.txt,2026-02-06 9:02,2026-02-08 7:48,25,F,C,1,OK
Monitor1.txt,2026-02-06 9:02,2026-02-08 7:48,26,F,C,1,OK
Monitor1.txt,2026-02-06 9:02,2026-02-08 7:48,27,F,C,1,OK
Monitor1.txt,2026-02-06 9:02,2026-02-08 7:48,28,F,C,1,OK
Monitor1.txt,2026-02-06 9:02,2026-02-08 7:48,29,F,C,1,OK
Monitor1.txt,2026-02-06 9:02,2026-02-08 7:48,30,F,C,1,OK
Monitor1.txt,2026-02-06 9:02,2026-02-08 7:48,31,F,C,1,OK
